year,rcpt,std
2008,MDA,2067444.397
2008,MDG,6804786.9
2008,MDV,19240.0
2008,MEX,3264281.52
2008,MKD,2702600.0022
2008,MLI,34465730.090000026
2008,MMR,11359265.540000005
2008,MNE,1201545.0000000002
2008,MNG,3524163.5100000002
2008,MOZ,202172121.6759999
2008,MRT,6061088.180000001
2008,MUS,19040.609
2008,MWI,153602219.35000008
2008,MYS,17814.2099999999
2008,NAM,82089539.39
2008,NER,8925199.280000005
2008,NGA,395271961.6499999
2008,NIC,9097089.150000002
2008,NPL,20374334.299999997
2008,PAK,12747529.69
2008,PAN,401852.0299999999
2008,PER,11583356.869000006
2008,PHL,8614869.57
2008,PNG,21036113.166900005
2008,PRK,690.0
2008,PRY,4875825.239999999
2008,PSE,229887.65
2008,RWA,130649781.73700002
2008,SDN,24123723.929999996
2008,SEN,16468266.979999995
2008,SHN,29999.5
2008,SLE,11703672.609000009
2008,SLV,3372699.420000001
2008,SOM,4976488.96
2008,SRB,4281745.869000001
2008,STP,468165.1999999999
2008,SUR,640239.9999999999
2008,SWZ,21960950.36
2008,SYC,19257.56
2008,SYR,456583.0
2008,TCD,6377165.25
2008,TGO,6252381.949999998
2008,THA,40200873.36
2008,TJK,4500707.4799999995
2008,TKM,849826.3000000002
2008,TLS,1055262.3699999999
2008,TON,123671.0
2008,TTO,3751667.0
2008,TUN,1458571.2299999997
2008,TUR,112500.0
2008,TZA,300756562.11099994
2008,UGA,219034613.4
2008,UKR,47796832.16000002
2008,URY,46034.4
2008,UZB,4877289.800000001
2008,VCT,241249.0
2008,VEN,243995.9599999999
2008,VNM,77117315.75099999
2008,VUT,601695.0
2008,WSM,77873.9
2008,YEM,3116793.8200000003
2008,ZAF,429914746.04
2008,ZMB,262626276.307
2008,ZWE,61758449.23
2009,AFG,5890910.7727999985
2009,AGO,12244309.536
2009,AIA,55267.299999999996
2009,ALB,1592341.513
2009,ARG,367304.42600000004
2009,ARM,5235261.027891
2009,ATG,55267.299999999996
2009,AZE,563054.2006299999
2009,BDI,35537825.680599995
2009,BEN,22903595.073200002
2009,BFA,41176697.389000006
2009,BGD,15990577.537330005
2009,BIH,1242654.95
2009,BLR,405512.9
2009,BLZ,649194.1100000001
2009,BOL,7287361.535999998
2009,BRA,5094787.921999999
2009,BRB,2815507.9282
2009,BTN,585859.66
2009,BWA,221524100.463
2009,CAF,4544941.590000001
2009,CHL,345943.5249
2009,CHN,130415312.32409994
2009,CIV,67514035.04
2009,CMR,28445307.13790001
2009,COD,27594284.887000002
2009,COG,6898430.6
2009,COK,61.67380000000001
2009,COL,526996.10183
2009,COM,148329.94999999998
2009,CPV,551285.0900000001
2009,CRI,108853.06999999999
2009,CUB,260518.626
2009,DJI,661759.753
2009,DMA,70166.4999999999
2009,DOM,22655455.314
2009,DZA,1219658.9200000002
2009,ECU,4981925.651100002
2009,EGY,4152294.929
2009,ERI,15762469.824999997
2009,ETH,210982198.5643799
2009,FJI,549037.3640000001
2009,GAB,3907524.7199999993
2009,GEO,6618282.849999999
2009,GHA,58655525.019360006
2009,GIN,6916771.9290000005
2009,GMB,6239097.306699999
2009,GNB,5923823.699999999
2009,GNQ,896102.72
2009,GRD,189512.6082
2009,GTM,7844066.196830002
2009,GUY,25457629.04000001
2009,HND,18989260.3166
2009,HRV,72000.0
2009,HTI,112629609.5094
2009,IDN,52685290.46934001
2009,IND,314419062.64139974
2009,IRN,840727.7999999999
2009,IRQ,101856.17
2009,JAM,11192603.179999996
2009,JOR,2422328.8639999996
2009,KAZ,5006644.800000001
2009,KEN,378596264.19948
2009,KGZ,3301943.0
2009,KHM,51905721.024960004
2009,KIR,0.0
2009,KNA,202928.63799999992
2009,LAO,8006884.837699999
2009,LBN,39300.1302
2009,LBR,5180737.974000001
2009,LBY,30636.5
2009,LCA,796166.5
2009,LKA,562471.12606
2009,LSO,29620750.97136
2009,MAR,5679218.726000002
2009,MDA,4055961.9319999996
2009,MDG,9377906.119000003
2009,MDV,11070.0
2009,MEX,3196793.930000001
2009,MHL,0.0
2009,MKD,1121530.0
2009,MLI,25463434.951
2009,MMR,8893240.972099999
2009,MNE,140374.72100000002
2009,MNG,3676528.4898
2009,MOZ,192780702.26420012
2009,MRT,781098.5199999999
2009,MSR,55267.299999999996
2009,MUS,873713.7939999999
2009,MWI,150838782.16168007
2009,MYS,7591.0
2009,MYT,464623.0
2009,NAM,119696458.28100002
2009,NER,13124087.417999998
2009,NGA,369495846.93399996
2009,NIC,16824454.55900001
2009,NPL,16240809.185399996
2009,OMN,0.0
2009,PAK,8482956.7741
2009,PAN,583989.7000000001
2009,PER,18986091.642700005
2009,PHL,14170075.799150001
2009,PNG,17083351.878599998
2009,PRK,0.0
2009,PRY,4011493.4339999994
2009,PSE,248619.31690999988
2009,RWA,135088535.3142
2009,SDN,12000618.759000009
2009,SEN,19020460.784689993
2009,SHN,15323.3
2009,SLB,182996.8146
2009,SLE,13237370.707999999
2009,SLV,4351874.249
2009,SOM,1349438.1900000002
2009,SRB,5648274.851
2009,STP,64382.590000000004
2009,SUR,2071070.4800000004
2009,SWZ,27758561.363580007
2009,SYC,21660.010000000002
2009,SYR,156630.0
2009,TCD,9271002.271840002
2009,TGO,17156040.372000005
2009,THA,24743721.087999996
2009,TJK,1907684.4200000002
2009,TKM,497673.0
2009,TLS,3015245.19804
2009,TON,8961.46
2009,TTO,1852313.1299999994
2009,TUN,3006349.91
2009,TUR,47520.0
2009,TZA,257080523.2890001
2009,UGA,259291338.8057201
2009,UKR,45615220.5427
2009,URY,144691.331
2009,UZB,9101604.200000001
2009,VCT,505888.17399999994
2009,VEN,593729.61
2009,VNM,95685182.38634999
2009,VUT,408558.0566
2009,XKX,1119242.0
2009,YEM,558043.71
2009,ZAF,565825792.4052397
2009,ZMB,223758272.11201
2009,ZWE,71513121.97229996
2010,AFG,6779843.0
2010,AGO,24678294.20899999
2010,ALB,799841.0
2010,ARG,646613.6900000001
2010,ARM,2364374.6
2010,AZE,4841570.199999999
2010,BDI,16098619.839999998
2010,BEN,30241930.010000005
2010,BFA,40768056.24000001
2010,BGD,16450478.921000002
2010,BIH,6587900.2
2010,BLR,6413569.0
2010,BLZ,1151561.99
2010,BOL,5460112.05
2010,BRA,7451197.669999999
2010,BRB,1851294.1
2010,BTN,1086575.13
2010,BWA,76898739.103
2010,CAF,10404067.299999999
2010,CHL,359964.44
2010,CHN,63756912.15699998
2010,CIV,90490579.10000001
2010,CMR,18168641.086000007
2010,COD,71982872.66
2010,COG,13439606.99
2010,COL,474813.58
2010,COM,466649.0
2010,CPV,1976369.36
2010,CRI,179626.80000000002
2010,CUB,9707705.056999998
2010,DJI,1945542.0999999999
2010,DOM,24831114.010000005
2010,DZA,1146469.0
2010,ECU,5377874.48
2010,EGY,3821697.142
2010,ERI,19492979.800000004
2010,ETH,464143169.03000003
2010,FJI,582449.7899999999
2010,GAB,2222435.1
2010,GEO,7268726.799999999
2010,GHA,33476883.14999999
2010,GIN,7219115.369999999
2010,GMB,6474410.102999999
2010,GNB,6839669.750000001
2010,GNQ,1552640.0
2010,GRD,3931.2799999999997
2010,GTM,10860039.412
2010,GUY,19952104.5
2010,HND,13620276.249999996
2010,HRV,74989.6
2010,HTI,118071088.38000001
2010,IDN,43700931.21200001
2010,IND,258314351.0000001
2010,IRN,3716919.0
2010,IRQ,1674.49
2010,JAM,14988866.720000004
2010,JOR,635089.78
2010,KAZ,4111189.699999999
2010,KEN,399544106.1979999
2010,KGZ,7752210.459999999
